name,slug,id,category,energy,fat,satFat,carbs,sugar,protein,salt,description,actualPrice,loyaltyPrice,unitOfMeasure,conversionMeasure,conversionValue,constraintCode
"Sviestas ROKIŠKIO, 82% rieb., 200 g",Sviestas-ROKISKIO-82percent-rieb-200-g,e1JS9Z63W43z8fZ1NziD,Butter,743,82,0,0.8,0.8,0.5,0.03,"Sviestas, 82% rieb.",2.79,,VNT,KG,0.2,fresh
"Fermentinis DVARO sūris, 50% riebumo, 240 g",Fermentinis-DVARO-suris-50percent-riebumo-240-g,WaJggrur7eiWHhqUVHTS,Fermented cheeses,360,28.5,19,0,0,24.5,1.6,Meistrų gaminamas iš natūralaus rinktinio pieno sūrininkų mieste Pasvalyje.,3.29,2.29,VNT,KG,0.24,fresh
"Sūdyta pjaustyta atlantinių lašišų filė ZIGMAS, 100 g",Sudyta-pjaustyta-atlantiniu-lasisu-file-ZIGMAS-100-g,tRNtCgqYx05wjKAuYMB6,Fish products,194,13,2.7,0.8,0.7,19,3,Lašiša,3.99,2.99,VNT,KG,0.1,fresh
"Cukrus NS, 1 kg",Cukrus-NS-1-kg,qInJIWkFO6uaX4U5xNMd,Sugar,400,0,0,100,100,0,0,Cukrus.,1.09,,VNT,KG,1,
"Majonezas HELLMANN'S ORIGINAL, 855 ml",Majonezas-HELLMANNS-ORIGINAL-855-ml,p5S8hPj9wPnT6hOPgtEG,Mayonnaise,671,73,5.6,2.9,2.9,0.6,0.93,Majonezas HELLMANN'S ORIGINAL 855 ml,7.49,,VNT,L,0.855,fresh
"Klasikinė silkių filė aliejuje mažai sūdyta ZIGMAS, 400 g",Klasikine-silkiu-file-aliejuje-mazai-sudyta-ZIGMAS-400-g,4cU6hlSpi4de2oUosUmX,Herrings and their products,174,12,4,2.9,0.9,14,4.3,Klasikinė silkių filė aliejuje mažai sūdyta.,4.49,,VNT,KG,0.4,fresh
"Majonezas HELLMANN'S ORIGINAL, 405 ml",Majonezas-HELLMANNS-ORIGINAL-405-ml,l0ele0t5EinNuTqKD2WX,Mayonnaise,671,73,5.6,2.9,2.9,0.6,0.93,HELLMANN'S ORIGINAL majonezas 405 ml,3.99,,VNT,L,0.405,fresh
ŽEMAITIJOS varškė 9% rieb.,Pusriebe-ZEMAITIJOS-varske-9percent-rieb-1-kg,DfGOYfWJtemuWOZV0HHK,Curd,157,9,5.9,2.7,2.7,16.4,0.2,"Pusriebė varškė, 9% rieb.",6.69,3.69,KG,KG,1,fresh
"ROKIŠKIO sviestas, 82% rieb., 125 g",ROKISKIO-sviestas-82percent-rieb-125-g,aDf1Dxvwn6KmnlKvaE0D,Butter,743,82,55,0.8,0.8,0.5,0.03,"Sviestas, 82% rieb.",2.49,1.99,VNT,KG,0.125,fresh
"Šviežia viščiukų broilerių vidinė filė IKI MĖSA, 400 g",Sviezia-visciuku-broileriu-vidine-file-IKI-MESA-400-g,gJAViFyTBnA496VE7jcx,Chicken,96,1.1,0.7,0.2,0.1,21.5,0.2,Šviežia viščiukų broilerių vidinė filė,4.99,3.99,VNT,KG,0.4,fresh
"Cukrus PANEVĖŽIO PLIUS, 1 kg",Cukrus-PANEVEZIO-PLIUS-1-kg,aiIIi7l8BPIIW2yL4Utc,Sugar,400,0,0,100,100,0,0,"Kaip saldiklis jis naudojamas kepiniams, uogienei, sultims pasaldinti.",1.19,0.69,VNT,KG,1,
"Šaldytos nevirtos baltakojės  blyšk.krevetės SUNRISE 16-20/lb, 800g",Saldytos-nevirtos-baltakojes-blyskkrevetes-SUNRISE-16-20lb-800g-284793,284793,Frozen shrimp,81,1.19,0.1,0.86,0,18.8,0.23,"Baltakojės blyškiosios krevetės be galvos, nevirtos, šaldytos.",19.99,,VNT,KG,0.8,frozen
"Atvėsintos viščiukų broilerių blauzdelės, ~500g",Atvesintos-visciuku-broileriu-blauzdeles-500g-287723,287723,Fresh poultry,124,5,1.4,0.5,0.5,20,0.2,Viščiukų broilerių blauzdelės,4.99,2.69,KG,KG,0.5,
"Skrudinamoji sumuštinių duona TOSTE, 500 g",Skrudinamoji-sumustiniu-duona-TOSTE-500-g,fgwNXkSb936NAF3ySZtj,Sandwich bread,273,4.1,0.4,50,3.8,7.5,1,"Duona „Toste“, skirta skrudinti. Skrudinama duona gražiai pagelsta, jos paviršius tampa traškus, o vidus – gardus ir minkštas.",1.79,,VNT,KG,0.5,
"Virtas pjaustytas kalakutienos kumpis, I r., 90 g",Virtas-pjaustytas-kalakutienos-kumpis-I-r-90-g,y4ZwrnMhoZo7G3oxWoAU,Cooked products,91,0.8,0,3.1,0.5,18,2.5,"Virtas BIOVELA kalakutienos kumpis gaminamas iš liesos stambiai smulkintos kumpinės kalakutienos. Švelnus skonis, pagardintas kruopščiai parinktais prieskoniais.",2.49,,VNT,KG,0.09,fresh
"Natūralus DVARO pienas, 3,5% rieb., 1 l",Naturalus-DVARO-pienas-35percent-rieb-1-l,xnWzQncY6MBxCefzZ0id,Milk,63,3.5,2.1,4.7,4.7,3.2,0.1,"DVARO pienas yra šviežio skonio, kurį lemia natūralūs baltymai, išsaugoti naudojant unikalią gamybos technologiją. Apdorotas automatinėje pieno mikrofiltravimo ir pasterizavimo linijoje. Pasterizuotas žemoje temperatūroje, todėl piene išlieka nepakitę vertingi pieno baltymai.",1.69,,VNT,L,1,fresh
"Rokiškio NAMINIS sviestas, 82% rieb., 180 g",Rokiskio-NAMINIS-sviestas-82percent-rieb-180-g,UxLg4tKgD0SK8jEm2gnd,Butter,743,82,0,0.8,0.8,0.5,0.03,"Sviestas, 82% rieb.",2.69,,VNT,KG,0.18,fresh
"Gazuotas gėrimas COCA COLA, 1,5 l",Gazuotas-gerimas-COCA-COLA-15-l,uFSS9JwjWZEO8xd4cSYf,Coca Cola,42,0,0,10.6,10.6,0,0,"„Coca-Cola“ yra populiariausias ir geriausiai parduodamas gaivusis gėrimas istorijoje, taip pat vienas iš labiausiai atpažįstamų prekės ženklų pasaulyje. 1886 m. Atlantoje, Gruzijoje, dr. John S. Pemberton sukurta „Coca-Cola“ buvo pirmą kartą buvo siūloma kaip fontano gėrimas „Jacob“ vaistinėje, maišant „Coca-Cola“ sirupą su gazuotu vandeniu. „Coca-Cola“ buvo patentuota 1887 m., 1893 m. įregistruota kaip prekės ženklas, o iki 1895 m. ji buvo parduodama visose JAV valstijose ir teritorijose. 1899 m. „Coca-Cola“ įmonė pradėjo franšizuoti išpilstymo operacijas Jungtinėse Valstijose, o 1906 m. „Coca-Cola“ išpilstymo darbai pradėjo plėstis tarptautiniu mastu.",2.15,,VNT,L,1.5,
"Sumuštinių duona, 500 g",Sumustiniu-duona-500-g,s0lGCrNlrFuYbuOfcV48,Sandwich bread,254,1.6,0.4,52,3.2,7.9,1.2,"Puikios struktūros ir skonio sumuštinių duona. Riekės forma puikiai tinka sumuštiniams, kepamiems sumuštinių kepyklėlėje.",1.75,1.39,VNT,KG,0.5,
"Vištų kiaušiniai M dydžio ant kraiko laikomų vištų IKI, 10 vnt.",Vistu-kiausiniai-M-dydzio-ant-kraiko-laikomu-vistu-IKI-10-vnt,Cz1zzf2cJgdqVQUsOfc8,Chicken eggs,140,9.7,3,0.6,0,13,0.4,Ant kraiko laikomų vištų kiaušiniai.,,,VNT,VNT,10,
"Pienas DVARO, 2,5% rieb., 2 l",Pienas-DVARO-25percent-rieb-2-l,j5NyKoYTQcYYXJKv0upq,Milk,54,2.5,1.5,4.7,4.7,3.2,0.1,"Apdorotas automatinėje pieno mikrofiltravimo ir pasterizavimo linijoje. Pasterizuotas žemoje temperatūroje, todėl piene išlieka nepakitę vertingi pieno baltymai.",2.89,,VNT,L,2,fresh
